filename,url
eks,https://ap-northeast-2.console.aws.amazon.com/eks/home?region=ap-northeast-2
elb,https://ap-northeast-2.console.aws.amazon.com/ec2/home?region=ap-northeast-2#LoadBalancers
rds,https://ap-northeast-2.console.aws.amazon.com/rds/home?region=ap-northeast-2#databases:
s3,https://ap-northeast-2.console.aws.amazon.com/s3/home?region=ap-northeast-2#
secretsmanager,https://ap-northeast-2.console.aws.amazon.com/secretsmanager/listsecrets?region=ap-northeast-2
cloudwatch,https://ap-northeast-2.console.aws.amazon.com/cloudwatch/home?region=ap-northeast-2#logsV2:log-groups
ec2,https://ap-northeast-2.console.aws.amazon.com/ec2/home?region=ap-northeast-2#Instances:instanceState=running
ecr,https://ap-northeast-2.console.aws.amazon.com/ecr/private-registry/repositories?region=ap-northeast-2
iam,https://us-east-1.console.aws.amazon.com/iam/home?region=ap-northeast-2#/home
lambda,https://ap-northeast-2.console.aws.amazon.com/lambda/home?region=ap-northeast-2#/functions
redis,https://ap-northeast-2.console.aws.amazon.com/elasticache/home?region=ap-northeast-2#/redis
ecs,https://ap-northeast-2.console.aws.amazon.com/ecs/v2/clusters?region=ap-northeast-2
vpc,https://ap-northeast-2.console.aws.amazon.com/vpcconsole/home?region=ap-northeast-2#Home:
route53,https://us-east-1.console.aws.amazon.com/route53/v2/hostedzones?region=ap-northeast-2#
sqs,https://ap-northeast-2.console.aws.amazon.com/sqs/v3/home?region=ap-northeast-2#/queues
batch,https://ap-northeast-2.console.aws.amazon.com/batch/home?region=ap-northeast-2#
cloudformation,https://ap-northeast-2.console.aws.amazon.com/cloudformation/home?region=ap-northeast-2#
